Protein,Function,Is Cancer,Result test 1
Prot_3776,Func_0005215,0,Unknown
Prot_3776,Func_0005524,0,Unknown
Prot_3776,Func_0006810,0,Unknown
Prot_3776,Func_0015105,0,Unknown
Prot_3776,Func_0005730,0,Unknown
Prot_3776,Func_0000166,0,Unknown
Prot_3776,Func_0006875,0,Unknown
Prot_3776,Func_0005783,0,Unknown
Prot_3777,Func_0003723,0,Unknown
Prot_3777,Func_0005829,0,Unknown
Prot_3777,Func_0006915,0,Unknown
Prot_3777,Func_0045786,0,Unknown
Prot_3777,Func_0007569,0,Unknown
Prot_3777,Func_0016481,0,Unknown
Prot_3777,Func_0043508,0,Unknown
Prot_3777,Func_0005737,0,Unknown
Prot_3777,Func_0005515,0,Unknown
Prot_3777,Func_0005634,0,Unknown
Prot_3778,Func_0046872,0,Unknown
Prot_3778,Func_0042473,0,Unknown
Prot_3778,Func_0016568,0,Unknown
Prot_3778,Func_0009653,0,Unknown
Prot_3778,Func_0001658,0,Unknown
Prot_3778,Func_0045449,0,Unknown
Prot_3778,Func_0001657,0,Unknown
Prot_3778,Func_0008152,0,Unknown
Prot_3778,Func_0016787,0,Unknown
Prot_3778,Func_0042472,0,Unknown
Prot_3778,Func_0048704,0,Unknown
Prot_3778,Func_0045165,0,Unknown
Prot_3778,Func_0004725,0,Unknown
Prot_3778,Func_0045664,0,Unknown
Prot_3778,Func_0016576,0,Unknown
Prot_3778,Func_0045739,0,Unknown
Prot_3778,Func_0010212,0,Unknown
Prot_3778,Func_0007389,0,Unknown
Prot_3778,Func_0005737,0,Unknown
Prot_3778,Func_0043066,0,Unknown
Prot_3778,Func_0005634,0,Unknown
Prot_3778,Func_0006302,0,Unknown
Prot_3778,Func_0007605,0,Unknown
Prot_3778,Func_0042474,0,Unknown
Prot_3778,Func_0021984,0,Unknown
Prot_3778,Func_0009887,0,Unknown
Prot_3778,Func_0005515,0,Unknown
Prot_3779,Func_0005515,0,Unknown
Prot_3780,Func_0045944,0,Unknown
Prot_3780,Func_0003713,0,Unknown
Prot_3780,Func_0042605,0,Unknown
Prot_3780,Func_0007219,0,Unknown
Prot_3780,Func_0016607,0,Unknown
Prot_3780,Func_0019901,0,Unknown
Prot_3780,Func_0005515,0,Unknown
Prot_3780,Func_0045449,0,Unknown
Prot_3780,Func_0005634,0,Unknown
Prot_3781,Func_0031113,0,Unknown
Prot_3781,Func_0031116,0,Unknown
Prot_3781,Func_0005829,0,Unknown
Prot_3781,Func_0048699,0,Unknown
Prot_3781,Func_0019899,0,Unknown
Prot_3781,Func_0005875,0,Unknown
Prot_3781,Func_0008034,0,Unknown
Prot_3781,Func_0005200,0,Unknown
Prot_3781,Func_0030424,0,Unknown
Prot_3781,Func_0005737,0,Unknown
Prot_3781,Func_0000226,0,Unknown
Prot_3781,Func_0005874,0,Unknown
Prot_3781,Func_0017124,0,Unknown
Prot_3781,Func_0042995,0,Unknown
Prot_3781,Func_0005886,0,Unknown
Prot_3781,Func_0030426,0,Unknown
Prot_3781,Func_0045298,0,Unknown
Prot_3781,Func_0007026,0,Unknown
Prot_3781,Func_0008017,0,Unknown
Prot_3781,Func_0005856,0,Unknown
Prot_3781,Func_0045773,0,Unknown
Prot_3781,Func_0034187,0,Unknown
Prot_3781,Func_0005515,0,Unknown
Prot_3781,Func_0042802,0,Unknown
Prot_3782,Func_0005886,0,Unknown
Prot_3782,Func_0016021,0,Unknown
Prot_3782,Func_0005509,0,Unknown
Prot_3782,Func_0007156,0,Unknown
Prot_3782,Func_0007155,0,Unknown
Prot_3784,Func_0051246,0,Unknown
Prot_3784,Func_0016874,0,Unknown
Prot_3784,Func_0004842,0,Unknown
Prot_3784,Func_0005524,0,Unknown
Prot_3784,Func_0043687,0,Unknown
Prot_3784,Func_0006511,0,Unknown
Prot_3784,Func_0000166,0,Unknown
Prot_3785,Func_0046983,0,Unknown
Prot_3785,Func_0005654,0,Unknown
Prot_3785,Func_0005736,0,Unknown
Prot_3785,Func_0006350,0,Unknown
Prot_3785,Func_0003899,0,Unknown
Prot_3785,Func_0003677,0,Unknown
Prot_3785,Func_0005515,0,Unknown
Prot_3785,Func_0006360,0,Unknown
Prot_3785,Func_0005634,0,Unknown
Prot_3787,Func_0016021,0,Unknown
Prot_3787,Func_0004872,0,Unknown
Prot_3787,Func_0016020,0,Unknown
Prot_3787,Func_0005515,0,Unknown
Prot_3787,Func_0007155,0,Unknown
Prot_3788,Func_0005886,0,Unknown
Prot_3788,Func_0005044,0,Unknown
Prot_3788,Func_0016049,0,Unknown
Prot_3788,Func_0006508,0,Unknown
Prot_3788,Func_0004252,0,Unknown
Prot_3788,Func_0005887,0,Unknown
Prot_3788,Func_0008236,0,Unknown
Prot_3788,Func_0008233,0,Unknown
Prot_3789,Func_0004888,0,Unknown
Prot_3789,Func_0001931,0,Unknown
Prot_3789,Func_0045060,0,Unknown
Prot_3789,Func_0006955,0,Unknown
Prot_3789,Func_0042742,0,Unknown
Prot_3789,Func_0042535,0,Unknown
Prot_3789,Func_0005488,0,Unknown
Prot_3789,Func_0051635,0,Unknown
Prot_3789,Func_0005886,0,Unknown
Prot_3789,Func_0005615,0,Unknown
Prot_3789,Func_0007162,0,Unknown
Prot_3789,Func_0001808,0,Unknown
Prot_3789,Func_0005887,0,Unknown
Prot_3789,Func_0050776,0,Unknown
Prot_3789,Func_0006935,0,Unknown
Prot_3789,Func_0007163,0,Unknown
Prot_3789,Func_0007165,0,Unknown
Prot_3789,Func_0042130,0,Unknown
Prot_3789,Func_0008624,0,Unknown
Prot_3789,Func_0042102,0,Unknown
Prot_3789,Func_0006968,0,Unknown
Prot_3789,Func_0050688,0,Unknown
Prot_3789,Func_0009897,0,Unknown
Prot_3789,Func_0031295,0,Unknown
Prot_3789,Func_0001562,0,Unknown
Prot_3789,Func_0005604,0,Unknown
Prot_3789,Func_0007166,0,Unknown
Prot_3789,Func_0005515,0,Unknown
Prot_3790,Func_0004820,0,Unknown
Prot_3790,Func_0005739,0,Unknown
Prot_3790,Func_0046983,0,Unknown
Prot_3790,Func_0008219,0,Unknown
Prot_3790,Func_0005829,0,Unknown
Prot_3790,Func_0006426,0,Unknown
Prot_3790,Func_0016874,0,Unknown
Prot_3790,Func_0030141,0,Unknown
Prot_3790,Func_0005737,0,Unknown
Prot_3790,Func_0005625,0,Unknown
Prot_3790,Func_0015966,0,Unknown
Prot_3790,Func_0005524,0,Unknown
Prot_3790,Func_0045055,0,Unknown
Prot_3790,Func_0005759,0,Unknown
Prot_3790,Func_0000166,0,Unknown
Prot_3791,Func_0005829,0,cancer
Prot_3791,Func_0043231,0,cancer
Prot_3791,Func_0006922,0,cancer
Prot_3791,Func_0008233,0,cancer
Prot_3791,Func_0005737,0,cancer
Prot_3791,Func_0005634,0,cancer
Prot_3791,Func_0001772,0,cancer
Prot_3791,Func_0006915,0,cancer
Prot_3791,Func_0006508,0,cancer
Prot_3791,Func_0004252,0,cancer
Prot_3791,Func_0008236,0,cancer
Prot_3791,Func_0019835,0,cancer
Prot_3791,Func_0005515,0,cancer
Prot_3792,Func_0005739,0,Unknown
Prot_3792,Func_0042254,0,Unknown
Prot_3792,Func_0005525,0,Unknown
Prot_3792,Func_0005730,0,Unknown
Prot_3792,Func_0005622,0,Unknown
Prot_3792,Func_0005634,0,Unknown
Prot_3792,Func_0000166,0,Unknown
Prot_3793,Func_0005743,0,Unknown
Prot_3793,Func_0005739,0,Unknown
Prot_3793,Func_0031175,0,Unknown
Prot_3793,Func_0005509,0,Unknown
Prot_3793,Func_0005515,0,Unknown
Prot_3794,Func_0005576,0,Unknown
Prot_3794,Func_0005886,0,Unknown
Prot_3794,Func_0016021,0,Unknown
Prot_3795,Func_0005576,0,Unknown
Prot_3795,Func_0005886,0,Unknown
Prot_3795,Func_0015026,0,Unknown
Prot_3795,Func_0016021,0,Unknown
Prot_3795,Func_0005578,0,Unknown
Prot_3795,Func_0007339,0,Unknown
Prot_3795,Func_0007338,0,Unknown
Prot_3795,Func_0032190,0,Unknown
Prot_3795,Func_0005515,0,Unknown
Prot_3796,Func_0006366,0,Unknown
Prot_3796,Func_0006355,0,Unknown
Prot_3796,Func_0003700,0,Unknown
Prot_3796,Func_0003705,0,Unknown
Prot_3796,Func_0005622,0,Unknown
Prot_3796,Func_0006260,0,Unknown
Prot_3796,Func_0005634,0,Unknown
Prot_3797,Func_0006414,0,Unknown
Prot_3797,Func_0003735,0,Unknown
Prot_3797,Func_0005829,0,Unknown
Prot_3797,Func_0006364,0,Unknown
Prot_3797,Func_0042273,0,Unknown
Prot_3797,Func_0005622,0,Unknown
Prot_3797,Func_0005515,0,Unknown
Prot_3797,Func_0000049,0,Unknown
Prot_3797,Func_0005840,0,Unknown
Prot_3799,Func_0031145,0,Unknown
Prot_3799,Func_0000502,0,Unknown
Prot_3799,Func_0051437,0,Unknown
Prot_3799,Func_0005838,0,Unknown
Prot_3799,Func_0005515,0,Unknown
Prot_3799,Func_0051436,0,Unknown
Prot_3800,Func_0005886,0,Unknown
Prot_3800,Func_0005829,0,Unknown
Prot_3800,Func_0006887,0,Unknown
Prot_3800,Func_0034451,0,Unknown
Prot_3800,Func_0005815,0,Unknown
Prot_3800,Func_0000145,0,Unknown
Prot_3800,Func_0015031,0,Unknown
Prot_3800,Func_0005515,0,Unknown
Prot_3800,Func_0005737,0,Unknown
Prot_3801,Func_0016021,0,Unknown
Prot_3801,Func_0030528,0,Unknown
Prot_3801,Func_0003677,0,Unknown
Prot_3801,Func_0005515,0,Unknown
Prot_3801,Func_0045449,0,Unknown
Prot_3801,Func_0005634,0,Unknown
Prot_3802,Func_0004871,0,Unknown
Prot_3802,Func_0030136,0,Unknown
Prot_3802,Func_0005794,0,Unknown
Prot_3802,Func_0007186,0,Unknown
Prot_3802,Func_0005834,0,Unknown
Prot_3802,Func_0009968,0,Unknown
Prot_3802,Func_0005903,0,Unknown
Prot_3802,Func_0007264,0,Unknown
Prot_3802,Func_0044445,0,Unknown
Prot_3802,Func_0005515,0,Unknown
Prot_3802,Func_0016020,0,Unknown
Prot_3802,Func_0006914,0,Unknown
Prot_3802,Func_0005624,0,Unknown
Prot_3804,Func_0008033,0,Unknown
Prot_3804,Func_0016740,0,Unknown
Prot_3804,Func_0015030,0,Unknown
Prot_3804,Func_0005634,0,Unknown
Prot_3804,Func_0030529,0,Unknown
Prot_3804,Func_0008168,0,Unknown
Prot_3804,Func_0016074,0,Unknown
Prot_3804,Func_0003723,0,Unknown
Prot_3804,Func_0031428,0,Unknown
Prot_3804,Func_0001652,0,Unknown
Prot_3804,Func_0006364,0,Unknown
Prot_3804,Func_0005515,0,Unknown
Prot_3804,Func_0005730,0,Unknown
Prot_3806,Func_0005158,0,Unknown
Prot_3806,Func_0005886,0,Unknown
Prot_3806,Func_0005104,0,Unknown
Prot_3806,Func_0008543,0,Unknown
Prot_3806,Func_0007165,0,Unknown
Prot_3807,Func_0046872,0,Unknown
Prot_3807,Func_0005096,0,Unknown
Prot_3807,Func_0005070,0,Unknown
Prot_3807,Func_0005515,0,Unknown
Prot_3807,Func_0005622,0,Unknown
Prot_3807,Func_0016020,0,Unknown
Prot_3807,Func_0007165,0,Unknown
Prot_3808,Func_0046872,0,Unknown
Prot_3808,Func_0000731,0,Unknown
Prot_3808,Func_0003887,0,Unknown
Prot_3808,Func_0006290,0,Unknown
Prot_3808,Func_0003684,0,Unknown
Prot_3808,Func_0016740,0,Unknown
Prot_3808,Func_0006281,0,Unknown
Prot_3808,Func_0005737,0,Unknown
Prot_3808,Func_0005634,0,Unknown
Prot_3808,Func_0016779,0,Unknown
Prot_3808,Func_0005654,0,Unknown
Prot_3808,Func_0006282,0,Unknown
Prot_3808,Func_0010225,0,Unknown
Prot_3808,Func_0006301,0,Unknown
Prot_3808,Func_0005730,0,Unknown
Prot_3809,Func_0005863,0,Unknown
Prot_3809,Func_0031430,0,Unknown
Prot_3809,Func_0008307,0,Unknown
Prot_3809,Func_0006936,0,Unknown
Prot_3811,Func_0031133,0,Unknown
Prot_3811,Func_0045110,0,Unknown
Prot_3811,Func_0031594,0,Unknown
Prot_3811,Func_0005856,0,Unknown
Prot_3811,Func_0060052,0,Unknown
Prot_3811,Func_0008088,0,Unknown
Prot_3811,Func_0005883,0,Unknown
Prot_3811,Func_0030424,0,Unknown
Prot_3811,Func_0005200,0,Unknown
Prot_3811,Func_0000226,0,Unknown
Prot_3812,Func_0043065,0,Unknown
Prot_3812,Func_0042130,0,Unknown
Prot_3812,Func_0030889,0,Unknown
Prot_3812,Func_0008285,0,Unknown
Prot_3812,Func_0043522,0,Unknown
Prot_3812,Func_0019899,0,Unknown
Prot_3812,Func_0042986,0,Unknown
Prot_3812,Func_0005737,0,Unknown
Prot_3812,Func_0050860,0,Unknown
Prot_3812,Func_0045449,0,Unknown
Prot_3812,Func_0005634,0,Unknown
Prot_3812,Func_0000122,0,Unknown
Prot_3812,Func_0005886,0,Unknown
Prot_3812,Func_0006915,0,Unknown
Prot_3812,Func_0042094,0,Unknown
Prot_3812,Func_0003714,0,Unknown
Prot_3812,Func_0005515,0,Unknown
Prot_3813,Func_0004879,0,Unknown
Prot_3813,Func_0046872,0,Unknown
Prot_3813,Func_0043565,0,Unknown
Prot_3813,Func_0008283,0,Unknown
Prot_3813,Func_0006355,0,Unknown
Prot_3813,Func_0003700,0,Unknown
Prot_3813,Func_0003677,0,Unknown
Prot_3813,Func_0005634,0,Unknown
Prot_3813,Func_0007276,0,Unknown
Prot_3813,Func_0000122,0,Unknown
Prot_3813,Func_0042803,0,Unknown
Prot_3813,Func_0008270,0,Unknown
Prot_3813,Func_0007283,0,Unknown
Prot_3813,Func_0005667,0,Unknown
Prot_3813,Func_0003707,0,Unknown
Prot_3813,Func_0005515,0,Unknown
Prot_3814,Func_0046872,0,Unknown
Prot_3814,Func_0004725,0,Unknown
Prot_3814,Func_0007275,0,Unknown
Prot_3814,Func_0009653,0,Unknown
Prot_3814,Func_0016568,0,Unknown
Prot_3814,Func_0016576,0,Unknown
Prot_3814,Func_0010212,0,Unknown
Prot_3814,Func_0045739,0,Unknown
Prot_3814,Func_0005737,0,Unknown
Prot_3814,Func_0005634,0,Unknown
Prot_3814,Func_0045449,0,Unknown
Prot_3814,Func_0007601,0,Unknown
Prot_3814,Func_0003682,0,Unknown
Prot_3814,Func_0008152,0,Unknown
Prot_3814,Func_0006302,0,Unknown
Prot_3814,Func_0016787,0,Unknown
Prot_3814,Func_0008138,0,Unknown
Prot_3814,Func_0005667,0,Unknown
Prot_3814,Func_0005515,0,Unknown
Prot_3816,Func_0009790,0,Unknown
