Prot_32,Prot_1259
Prot_32,Prot_7255
Prot_32,Prot_8161
Prot_32,Prot_9883
Prot_32,Prot_1503
Prot_32,Prot_7492
Prot_32,Prot_1652
Prot_32,Prot_958
Prot_32,Prot_4230
Prot_32,Prot_8586
Prot_32,Prot_3404
Prot_32,Prot_8415
Prot_32,Prot_6442
Prot_32,Prot_2830
Prot_32,Prot_1273
Prot_32,Prot_4072
Prot_32,Prot_3746
Prot_32,Prot_9064
Prot_32,Prot_451
Prot_32,Prot_3111
Prot_32,Prot_1732
Prot_32,Prot_2169
Prot_32,Prot_5585
Prot_33,Prot_2342
Prot_33,Prot_5120
Prot_33,Prot_2036
Prot_33,Prot_1227
Prot_34,Prot_7642
Prot_34,Prot_216
Prot_34,Prot_7898
Prot_34,Prot_4102
Prot_34,Prot_9622
Prot_34,Prot_4842
Prot_34,Prot_7389
Prot_34,Prot_3940
Prot_34,Prot_8692
Prot_34,Prot_8544
Prot_35,Prot_2342
Prot_35,Prot_5120
Prot_35,Prot_5328
Prot_35,Prot_1399
Prot_36,Prot_8679
Prot_36,Prot_8783
Prot_36,Prot_3887
Prot_36,Prot_4742
Prot_36,Prot_4438
Prot_36,Prot_4736
Prot_37,Prot_9057
Prot_37,Prot_4569
Prot_37,Prot_4726
Prot_37,Prot_8087
Prot_37,Prot_857
Prot_37,Prot_1116
Prot_37,Prot_6255
Prot_37,Prot_6586
Prot_37,Prot_4143
Prot_37,Prot_1436
Prot_37,Prot_2494
Prot_37,Prot_2843
Prot_37,Prot_9350
Prot_37,Prot_7191
Prot_37,Prot_5820
Prot_37,Prot_9326
Prot_37,Prot_9064
Prot_37,Prot_2422
Prot_37,Prot_1992
Prot_37,Prot_815
Prot_38,Prot_1444
Prot_38,Prot_1078
Prot_38,Prot_4010
Prot_39,Prot_712
Prot_39,Prot_6203
Prot_39,Prot_9154
Prot_39,Prot_5293
Prot_39,Prot_7403
Prot_39,Prot_3059
Prot_39,Prot_8923
Prot_39,Prot_2975
Prot_39,Prot_1466
Prot_39,Prot_4195
Prot_39,Prot_2306
Prot_39,Prot_6289
Prot_39,Prot_5553
Prot_39,Prot_9551
Prot_40,Prot_1347
Prot_40,Prot_6033
Prot_40,Prot_8211
Prot_40,Prot_7623
Prot_40,Prot_4293
Prot_40,Prot_104
Prot_40,Prot_3496
Prot_40,Prot_9795
Prot_40,Prot_9184
Prot_40,Prot_7794
Prot_40,Prot_4654
Prot_40,Prot_5907
Prot_40,Prot_7530
Prot_41,Prot_4997
Prot_41,Prot_900
Prot_41,Prot_5694
Prot_41,Prot_54
Prot_41,Prot_3228
Prot_41,Prot_6128
Prot_41,Prot_9814
Prot_42,Prot_9755
Prot_42,Prot_7557
Prot_42,Prot_8225
Prot_42,Prot_7267
Prot_42,Prot_1596
Prot_42,Prot_8454
Prot_43,Prot_1287
Prot_43,Prot_2783
Prot_44,Prot_857
Prot_44,Prot_3994
Prot_44,Prot_5774
Prot_44,Prot_8137
Prot_44,Prot_5283
Prot_44,Prot_9841
Prot_44,Prot_5569
Prot_44,Prot_4895
Prot_45,Prot_9704
Prot_46,Prot_2065
Prot_46,Prot_9900
Prot_46,Prot_7349
Prot_46,Prot_7856
Prot_46,Prot_1081
Prot_46,Prot_285
Prot_46,Prot_265
Prot_46,Prot_7494
Prot_46,Prot_1482
Prot_46,Prot_3739
Prot_46,Prot_3785
Prot_46,Prot_4543
Prot_46,Prot_219
Prot_46,Prot_6879
Prot_46,Prot_8358
Prot_46,Prot_9220
Prot_46,Prot_6444
Prot_46,Prot_1602
Prot_46,Prot_1884
Prot_46,Prot_9948
Prot_46,Prot_6687
Prot_47,Prot_8009
Prot_47,Prot_2953
